"type","id","author","editor","advisor","note","title","pages","article_no","num_pages","keywords","doi","journal","issue_date","volume","issue_no","description","month","year","issn","booktitle","acronym","edition","isbn","conf_loc","publisher","publisher_loc"
"article","1959383","Patrick  Loiseau and Paulo  Gon&#231;alves and Guillaume  Dewaele and Pierre  Borgnat and Patrice  Abry and Pascale Vicat-Blanc Primet","","","","Investigating Self-similarity and Heavy-tailed Distributions on a Large-scale Experimental Facility","1261--1274","","14","heavy-tailed distributions, large-scale experiments, monitoring, network traffic, self-similarity","10.1109/TNET.2010.2042726","IEEE/ACM Trans. Netw.","August 2010","18","4","","August","2010","1063-6692","","","","","","IEEE Press","Piscataway, NJ, USA"
"article","2797161","Primo&#382;  Poto&#269;nik and Edvard  Govekar","","","","Practical Considerations in Training Extreme Learning Machines","1:1--1:5","1","5","Extreme learning machines, activation functions, feedforward neural networks, function approximation, input range scaling","10.1145/2797143.2797161","","","","","","","2015","","Proceedings of the 16th International Conference on Engineering Applications of Neural Networks (INNS)","EANN '15","","978-1-4503-3580-5","Rhodes, Island, Greece","ACM","New York, NY, USA"
"article","2745878","Rahul  Singh and Alexander  Stolyar","","","","MaxWeight Scheduling: Asymptotic Behavior of Unscaled Queue-Differentials in Heavy Traffic","431--432","","2","dynamic scheduling, heavy traffic asymptotic regime, markov chain, maxweight algorithm, queue length differentials, smooth service process","10.1145/2796314.2745878","SIGMETRICS Perform. Eval. Rev.","June 2015","43","1","","June","2015","0163-5999","","","","","","ACM","New York, NY, USA"
"article","2745878","Rahul  Singh and Alexander  Stolyar","","","","MaxWeight Scheduling: Asymptotic Behavior of Unscaled Queue-Differentials in Heavy Traffic","431--432","","2","dynamic scheduling, heavy traffic asymptotic regime, markov chain, maxweight algorithm, queue length differentials, smooth service process","10.1145/2745844.2745878","","","","","","","2015","","Proceedings of the 2015 ACM SIGMETRICS International Conference on Measurement and Modeling of Computer Systems","SIGMETRICS '15","","978-1-4503-3486-0","Portland, Oregon, USA","ACM","New York, NY, USA"
"article","948939","Sem  Borst and Michel  Mandjes and Miranda  van Uitert","","","","Generalized Processor Sharing with Light-tailed and Heavy-tailed Input","821--834","","14","Generalized processor sharing (GPS), Markov fluid, heavy-tailed traffic, large deviations, light-tailed traffic, regular variation, weighted fair queueing, workload asymptotics","10.1109/TNET.2003.818195","IEEE/ACM Trans. Netw.","October 2003","11","5","","October","2003","1063-6692","","","","","","IEEE Press","Piscataway, NJ, USA"
"article","2834978","Bin  Dong and Surendra  Byna and Kesheng  Wu","","","","Heavy-tailed Distribution of Parallel I/O System Response Time","37--42","","6","heavy-tailed distribution, parallel I/O, performance and benchmarking, peta-scale storage system, response time","10.1145/2834976.2834978","","","","","","","2015","","Proceedings of the 10th Parallel Data Storage Workshop","PDSW '15","","978-1-4503-4008-3","Austin, Texas","ACM","New York, NY, USA"
"article","1028802","Yin  Zhang and Sumeet  Singh and Subhabrata  Sen and Nick  Duffield and Carsten  Lund","","","","Online Identification of Hierarchical Heavy Hitters: Algorithms, Evaluation, and Applications","101--114","","14","change detection, data stream computation, hierarchical heavy hitters, network anomaly detection, packet classification","10.1145/1028788.1028802","","","","","","","2004","","Proceedings of the 4th ACM SIGCOMM Conference on Internet Measurement","IMC '04","","1-58113-821-0","Taormina, Sicily, Italy","ACM","New York, NY, USA"
"article","2901466","Siva Theja  Maguluri and Sai Kiran  Burle and R.  Srikant","","","","Optimal Heavy-Traffic Queue Length Scaling in an Incompletely Saturated Switch","13--24","","12","drift method, heavy traffic optimality, nxn switch, performance analysis","10.1145/2964791.2901466","SIGMETRICS Perform. Eval. Rev.","June 2016","44","1","","June","2016","0163-5999","","","","","","ACM","New York, NY, USA"
"article","2901466","Siva Theja  Maguluri and Sai Kiran  Burle and R.  Srikant","","","","Optimal Heavy-Traffic Queue Length Scaling in an Incompletely Saturated Switch","13--24","","12","drift method, heavy traffic optimality, nxn switch, performance analysis","10.1145/2896377.2901466","","","","","","","2016","","Proceedings of the 2016 ACM SIGMETRICS International Conference on Measurement and Modeling of Computer Science","SIGMETRICS '16","","978-1-4503-4266-7","Antibes Juan-les-Pins, France","ACM","New York, NY, USA"
"article","1958811","Natalia M. Markovich and Udo R. Krieger","","","","Analyzing Measurements from Data with Underlying Dependences and Heavy-tailed Distributions","425--436","","12","data analysis, heavy-tailed distributions, long-range dependence, ngn traffic characterization, peer-to-peer packet traffic","10.1145/1958746.1958811","","","","","","","2011","","Proceedings of the 2Nd ACM/SPEC International Conference on Performance Engineering","ICPE '11","","978-1-4503-0519-8","Karlsruhe, Germany","ACM","New York, NY, USA"
"article","2851882","Xiao-jian  Ding and Xiao-guang  Liu and Xin  Xu","","","","An Optimization Method of Extreme Learning Machine for Regression","891--893","","3","extreme learning machine, optimization, regression","10.1145/2851613.2851882","","","","","","","2016","","Proceedings of the 31st Annual ACM Symposium on Applied Computing","SAC '16","","978-1-4503-3739-7","Pisa, Italy","ACM","New York, NY, USA"
"article","1068071","Joshua L. Payne and Margaret J. Eppstein","","","","A Hybrid Genetic Algorithm with Pattern Search for Finding Heavy Atoms in Protein Crystals","377--384","","8","crystallographic phasing, crystallography, genetic algorithms, heavy atom method, hybrid evolutionary algorithms, isomorphous replacement, pattern search, phase problem","10.1145/1068009.1068071","","","","","","","2005","","Proceedings of the 7th Annual Conference on Genetic and Evolutionary Computation","GECCO '05","","1-59593-010-8","Washington DC, USA","ACM","New York, NY, USA"
"article","1989541","Thomas  Locher","","","","Finding Heavy Distinct Hitters in Data Streams","299--308","","10","anomaly detection, heavy distinct hitter, network monitoring, space complexity, streaming algorithms","10.1145/1989493.1989541","","","","","","","2011","","Proceedings of the Twenty-third Annual ACM Symposium on Parallelism in Algorithms and Architectures","SPAA '11","","978-1-4503-0743-7","San Jose, California, USA","ACM","New York, NY, USA"
"article","3036354","Bhakti Yudho Suprapto and M. Ary Heryanto and Herwin  Suprijono and Benyamin  Kusumoputro","","","","Altitude Control of Heavy-Lift Hexacopter Using Direct Inverse Control Based on Elman Recurrent Neural Network","135--140","","6","Altitude Control, DIC, Elman Recurrent Neural Networks, Heavy-Lift Hexacopter, Neural Networks","10.1145/3036331.3036354","","","","","","","2017","","Proceedings of the 8th International Conference on Computer Modeling and Simulation","ICCMS '17","","978-1-4503-4816-4","Canberra, Australia","ACM","New York, NY, USA"
"article","2591572","Cory  Merkel and Dhireesha  Kudithipudi","","","","A Current-mode CMOS/Memristor Hybrid Implementation of an Extreme Learning Machine","241--242","","2","current-mode, extreme learning machine, memristor","10.1145/2591513.2591572","","","","","","","2014","","Proceedings of the 24th Edition of the Great Lakes Symposium on VLSI","GLSVLSI '14","","978-1-4503-2816-6","Houston, Texas, USA","ACM","New York, NY, USA"
"article","2631776","Swati  Agarwal and Ashish  Sureka","","","","A Focused Crawler for Mining Hate and Extremism Promoting Videos on YouTube.","294--296","","3","hate &#38; extremism detection, online radicalization","10.1145/2631775.2631776","","","","","","","2014","","Proceedings of the 25th ACM Conference on Hypertext and Social Media","HT '14","","978-1-4503-2954-5","Santiago, Chile","ACM","New York, NY, USA"
"article","2464495","Derek  O'Callaghan and Derek  Greene and Maura  Conway and Joe  Carthy and P&#225;draig  Cunningham","","","","Uncovering the Wider Structure of Extreme Right Communities Spanning Popular Online Networks","276--285","","10","extreme right, heterogeneous online networks, social network analysis","10.1145/2464464.2464495","","","","","","","2013","","Proceedings of the 5th Annual ACM Web Science Conference","WebSci '13","","978-1-4503-1889-1","Paris, France","ACM","New York, NY, USA"
"article","3152743","Chen Chai Phing and Tiong Sieh Kiong and Md Fauzan K. Mohd Yapandi and Johnny Koh Siaw Paw","","","","Prediction of NO2 Emission Concentration via Correlation of Multiple Big Data Sources Using Extreme Learning Machine","23--27","","5","Emission Prediction, Extreme Learning Machine, Meteorology, Terrain Profile","10.1145/3152723.3152743","","","","","","","2017","","Proceedings of the 2017 International Conference on Big Data Research","ICBDR 2017","","978-1-4503-5356-4","Osaka, Japan","ACM","New York, NY, USA"
"article","2077576","Ming-Chun  Huang and Ethan  Chen and Wenyao  Xu and Majid  Sarrafzadeh","","","","Gaming for Upper Extremities Rehabilitation","27:1--27:2","27","2","3D camera, IMU, Kinect, calibration, data glove, exercise, fusion, gaming, health, upper extremities rehabilitation","10.1145/2077546.2077576","","","","","","","2011","","Proceedings of the 2Nd Conference on Wireless Health","WH '11","","978-1-4503-0982-0","San Diego, California","ACM","New York, NY, USA"
"article","2638741","Anthony  Faiola and Preethi  Srinivas","","","","Extreme Mediation: Observing Mental and Physical Health in Everyday Life","47--50","","4","conscious awareness, extreme mediation, mental health, physical activity, smartphone overuse","10.1145/2638728.2638741","","","","","","","2014","","Proceedings of the 2014 ACM International Joint Conference on Pervasive and Ubiquitous Computing: Adjunct Publication","UbiComp '14 Adjunct","","978-1-4503-3047-3","Seattle, Washington","ACM","New York, NY, USA"
"article","3084218","Ivanoe  De Falco and Eryk  Laskowski and Richard  Olejnik and Umberto  Scafuri and Ernesto  Tarantino and Marek  Tudruj","","","","Multi-objective Parallel Extremal Optimization in Processor Load Balancing for Distributed Programs","1796--1803","","8","extremal optimization, multi-objective optimization, processor load balancing","10.1145/3067695.3084218","","","","","","","2017","","Proceedings of the Genetic and Evolutionary Computation Conference Companion","GECCO '17","","978-1-4503-4939-0","Berlin, Germany","ACM","New York, NY, USA"
"article","2481430","Yin  Lu and Yong  Chen and Yu  Zhuang and Rajeev  Thakur","","","","Memory-conscious Collective I/O for Extreme Scale HPC Systems","5:1--5:8","5","8","collective I/O, extreme scale system, high performance computing, many-core architecture, parallel I/O","10.1145/2491661.2481430","","","","","","","2013","","Proceedings of the 3rd International Workshop on Runtime and Operating Systems for Supercomputers","ROSS '13","","978-1-4503-2146-4","Eugene, Oregon","ACM","New York, NY, USA"
"article","2413122","Ming-Chun  Huang and Wenyao  Xu and Yi  Su and Belinda  Lange and Chien-Yen  Chang and Majid  Sarrafzadeh","","","","SmartGlove for Upper Extremities Rehabilitative Gaming Assessment","20:1--20:4","20","4","Kinect, animation, data glove, rehabilitation, upper extremities, upper limbs, video game","10.1145/2413097.2413122","","","","","","","2012","","Proceedings of the 5th International Conference on PErvasive Technologies Related to Assistive Environments","PETRA '12","","978-1-4503-1300-1","Heraklion, Crete, Greece","ACM","New York, NY, USA"
"article","3078592","Lei  Ying","","","","Stein's Method for Mean-Field Approximations in Light and Heavy Traffic Regimes","49--49","","1","Stein's method, heavy traffic analysis, large-scale stochastic systems, mean-field approximations, the-power-of-two-choices","10.1145/3143314.3078592","SIGMETRICS Perform. Eval. Rev.","June 2017","45","1","","June","2017","0163-5999","","","","","","ACM","New York, NY, USA"
"article","3078592","Lei  Ying","","","","Stein's Method for Mean-Field Approximations in Light and Heavy Traffic Regimes","49--49","","1","Stein's method, heavy traffic analysis, large-scale stochastic systems, mean-field approximations, the-power-of-two-choices","10.1145/3078505.3078592","","","","","","","2017","","Proceedings of the 2017 ACM SIGMETRICS / International Conference on Measurement and Modeling of Computer Systems","SIGMETRICS '17 Abstracts","","978-1-4503-5032-7","Urbana-Champaign, Illinois, USA","ACM","New York, NY, USA"
"article","2532591","Xi  Chen and Markus  Koskela","","","","Online RGB-D Gesture Recognition with Extreme Learning Machines","467--474","","8","RGB-D, extreme learning machine, hog, online gesture recognition, skeleton model","10.1145/2522848.2532591","","","","","","","2013","","Proceedings of the 15th ACM on International Conference on Multimodal Interaction","ICMI '13","","978-1-4503-2129-7","Sydney, Australia","ACM","New York, NY, USA"
"article","2998365","Mark&#233;ta  Dolej&#353;ov&#225; and Denisa  Kera","","","","Soylent Diet Self-Experimentation: Design Challenges in Extreme Citizen Science Projects","2112--2123","","12","extreme citizen science, health, nutrition literacy, risk, self-experimentation, self-tracking","10.1145/2998181.2998365","","","","","","","2017","","Proceedings of the 2017 ACM Conference on Computer Supported Cooperative Work and Social Computing","CSCW '17","","978-1-4503-4335-0","Portland, Oregon, USA","ACM","New York, NY, USA"
"article","2393260","G.  Geetha","","","","Detecting Epileptic Seizures Using Electroencephalogram: A Novel Technique for Seizure Classification Using Fast Walsh-Hadamard Transform and Hybrid Extreme Learning Machine","253--260","","8","ElectroEncephaloGram, Extreme Learning Machine, Hybrid ELM, Levenberg--Marquardt algorithm, analytical hierarchy process, epilepsy","10.1145/2393216.2393260","","","","","","","2012","","Proceedings of the Second International Conference on Computational Science, Engineering and Information Technology","CCSEIT '12","","978-1-4503-1310-0","Coimbatore UNK, India","ACM","New York, NY, USA"
